vid,category,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
G1AbandonedKingdom_ERP_7680x3840_fps30_qp27_45406k,G1AbandonedKingdom,58.51097971,7680,3840,yuv420p,30.0,300,8,45411944
G1AbandonedKingdom_ERP_7680x3840_fps30_qp37_9283k,G1AbandonedKingdom,50.96100444,7680,3840,yuv420p,30.0,300,8,9288089
G1AbandonedKingdom_ERP_7680x3840_fps30_qp42_4140k,G1AbandonedKingdom,43.32113248,7680,3840,yuv420p,30.0,300,8,4144835
G1AbandonedKingdom_RCMP_5760x3840_fps30_qp27_39229k,G1AbandonedKingdom,59.42921425,7680,3840,yuv420p,30.0,300,8,48225496
G1AbandonedKingdom_RCMP_5760x3840_fps30_qp37_7076k,G1AbandonedKingdom,50.60039519,7680,3840,yuv420p,30.0,300,8,43576969
G1AbandonedKingdom_RCMP_5760x3840_fps30_qp42_2901k,G1AbandonedKingdom,43.51786062,7680,3840,yuv420p,30.0,300,8,41081032
G1AbandonedKingdom_TSP_7680x3840_fps30_qp27_32650k,G1AbandonedKingdom,59.84183463,7680,3840,yuv420p,30.0,300,8,43901355
G1AbandonedKingdom_TSP_7680x3840_fps30_qp37_6374k,G1AbandonedKingdom,52.01724575,7680,3840,yuv420p,30.0,300,8,41183567
G1AbandonedKingdom_TSP_7680x3840_fps30_qp42_2878k,G1AbandonedKingdom,38.5784208,7680,3840,yuv420p,30.0,300,8,39688834
G1Aerial_ERP_7680x3840_fps25_qp27_18646k,G1Aerial,65.51097166,7680,3840,yuv420p,25.0,300,8,18650725
G1Aerial_ERP_7680x3840_fps25_qp37_3307k,G1Aerial,50.58662375,7680,3840,yuv420p,25.0,300,8,3311534
G1Aerial_ERP_7680x3840_fps25_qp42_1216k,G1Aerial,45.13796344,7680,3840,yuv420p,25.0,300,8,1220235
G1Aerial_RCMP_5760x3840_fps25_qp27_13665k,G1Aerial,65.50441088,7680,3840,yuv420p,25.0,300,8,33922274
G1Aerial_RCMP_5760x3840_fps25_qp37_2092k,G1Aerial,52.16527806,7680,3840,yuv420p,25.0,300,8,25251780
G1Aerial_RCMP_5760x3840_fps25_qp42_658k,G1Aerial,25.94594717,7680,3840,yuv420p,25.0,300,8,18947322
G1Aerial_TSP_7680x3840_fps25_qp27_16904k,G1Aerial,61.0665697,7680,3840,yuv420p,25.0,300,8,32070028
G1Aerial_TSP_7680x3840_fps25_qp37_2794k,G1Aerial,56.16036096,7680,3840,yuv420p,25.0,300,8,24936392
G1Aerial_TSP_7680x3840_fps25_qp42_1039k,G1Aerial,45.48966232,7680,3840,yuv420p,25.0,300,8,19851444
G1BajaCalifonia_ERP_3840x2160_fps23.976_qp27_41186k,G1BajaCalifonia,59.09657515,3840,2160,yuv420p,23.976,345,8,41189715
G1BajaCalifonia_ERP_3840x2160_fps23.976_qp37_12633k,G1BajaCalifonia,55.65626805,3840,2160,yuv420p,23.976,345,8,12636952
G1BajaCalifonia_ERP_3840x2160_fps23.976_qp42_5570k,G1BajaCalifonia,47.4199722,3840,2160,yuv420p,23.976,345,8,5573515
G1BajaCalifonia_RCMP_2880x1920_fps23.976_qp27_33080k,G1BajaCalifonia,61.30831596,3840,1920,yuv420p,23.976,345,8,33230534
G1BajaCalifonia_RCMP_2880x1920_fps23.976_qp37_8676k,G1BajaCalifonia,56.65675092,3840,1920,yuv420p,23.976,345,8,29141147
G1BajaCalifonia_RCMP_2880x1920_fps23.976_qp42_3571k,G1BajaCalifonia,45.19411412,3840,1920,yuv420p,23.976,345,8,24700526
G1BajaCalifonia_TSP_3840x1920_fps23.976_qp27_29617k,G1BajaCalifonia,63.66107501,3840,1920,yuv420p,23.976,345,8,30047756
G1BajaCalifonia_TSP_3840x1920_fps23.976_qp37_8309k,G1BajaCalifonia,60.14933041,3840,1920,yuv420p,23.976,345,8,26323366
G1BajaCalifonia_TSP_3840x1920_fps23.976_qp42_3562k,G1BajaCalifonia,49.7058018,3840,1920,yuv420p,23.976,345,8,22081105
G1BikingToWork_ERP_3840x2160_fps23.976_qp27_12306k,G1BikingToWork,51.13280688,3840,2160,yuv420p,23.976,400,8,12309360
G1BikingToWork_ERP_3840x2160_fps23.976_qp37_3596k,G1BikingToWork,51.2180391,3840,2160,yuv420p,23.976,400,8,3599575
G1BikingToWork_ERP_3840x2160_fps23.976_qp42_1855k,G1BikingToWork,37.78674093,3840,2160,yuv420p,23.976,400,8,1858818
G1BikingToWork_RCMP_2880x1920_fps23.976_qp27_9939k,G1BikingToWork,59.66643218,3840,1920,yuv420p,23.976,400,8,15900619
G1BikingToWork_RCMP_2880x1920_fps23.976_qp37_2889k,G1BikingToWork,52.62278396,3840,1920,yuv420p,23.976,400,8,15313685
G1BikingToWork_RCMP_2880x1920_fps23.976_qp42_1484k,G1BikingToWork,38.35128832,3840,1920,yuv420p,23.976,400,8,14843087
G1BikingToWork_TSP_3840x1920_fps23.976_qp27_10985k,G1BikingToWork,57.57951768,3840,1920,yuv420p,23.976,400,8,15609054
G1BikingToWork_TSP_3840x1920_fps23.976_qp37_3252k,G1BikingToWork,55.95736224,3840,1920,yuv420p,23.976,400,8,15082417
G1BikingToWork_TSP_3840x1920_fps23.976_qp42_1680k,G1BikingToWork,43.51226952,3840,1920,yuv420p,23.976,400,8,14461253
G1LandSalt_ERP_6144x3072_fps29.97_qp27_9229k,G1LandSalt,66.46225983,6144,3072,yuv420p,29.97,330,8,9234020
G1LandSalt_ERP_6144x3072_fps29.97_qp37_2048k,G1LandSalt,55.67569306,6144,3072,yuv420p,29.97,330,8,2053011
G1LandSalt_ERP_6144x3072_fps29.97_qp42_880k,G1LandSalt,29.48862457,6144,3072,yuv420p,29.97,330,8,884812
G1LandSalt_RCMP_4608x3072_fps29.97_qp27_8296k,G1LandSalt,66.28804586,6144,3072,yuv420p,29.97,330,8,14990585
G1LandSalt_RCMP_4608x3072_fps29.97_qp37_1961k,G1LandSalt,52.29849871,6144,3072,yuv420p,29.97,330,8,9967397
G1LandSalt_RCMP_4608x3072_fps29.97_qp42_838k,G1LandSalt,25.82703439,6144,3072,yuv420p,29.97,330,8,7558829
G1LandSalt_TSP_6144x3072_fps29.97_qp27_7639k,G1LandSalt,62.21393078,6144,3072,yuv420p,29.97,330,8,13753369
G1LandSalt_TSP_6144x3072_fps29.97_qp37_1588k,G1LandSalt,55.69207095,6144,3072,yuv420p,29.97,330,8,8584912
G1LandSalt_TSP_6144x3072_fps29.97_qp42_715k,G1LandSalt,32.29041324,6144,3072,yuv420p,29.97,330,8,6474596
G1LateShow_ERP_3840x2160_fps23.976_qp27_11724k,G1LateShow,58.82061939,3840,2160,yuv420p,23.976,470,8,11727696
G1LateShow_ERP_3840x2160_fps23.976_qp37_2051k,G1LateShow,40.45129275,3840,2160,yuv420p,23.976,470,8,2053900
G1LateShow_ERP_3840x2160_fps23.976_qp42_858k,G1LateShow,31.50088614,3840,2160,yuv420p,23.976,470,8,860876
G1LateShow_RCMP_2880x1920_fps23.976_qp27_8163k,G1LateShow,52.47218438,3840,1920,yuv420p,23.976,470,8,9994097
G1LateShow_RCMP_2880x1920_fps23.976_qp37_1330k,G1LateShow,33.92950085,3840,1920,yuv420p,23.976,470,8,7658564
G1LateShow_RCMP_2880x1920_fps23.976_qp42_567k,G1LateShow,21.60739559,3840,1920,yuv420p,23.976,470,8,6059209
G1LateShow_TSP_3840x1920_fps23.976_qp27_8334k,G1LateShow,59.98836174,3840,1920,yuv420p,23.976,470,8,8642078
G1LateShow_TSP_3840x1920_fps23.976_qp37_1507k,G1LateShow,49.83541799,3840,1920,yuv420p,23.976,470,8,6886485
G1LateShow_TSP_3840x1920_fps23.976_qp42_610k,G1LateShow,34.13644957,3840,1920,yuv420p,23.976,470,8,5412071
G2AstonVillaGoal_ERP_3840x2048_fps24_qp27_11596k,G2AstonVillaGoal,59.69662945,3840,2048,yuv420p,24.0,540,8,11599536
G2AstonVillaGoal_ERP_3840x2048_fps24_qp37_2141k,G2AstonVillaGoal,44.43503872,3840,2048,yuv420p,24.0,540,8,2144135
G2AstonVillaGoal_ERP_3840x2048_fps24_qp42_872k,G2AstonVillaGoal,30.54120189,3840,2048,yuv420p,24.0,540,8,875228
G2AstonVillaGoal_RCMP_2880x1920_fps24_qp27_9516k,G2AstonVillaGoal,55.59400546,3840,1920,yuv420p,24.0,540,8,12164283
G2AstonVillaGoal_RCMP_2880x1920_fps24_qp37_1869k,G2AstonVillaGoal,36.76316563,3840,1920,yuv420p,24.0,540,8,9261978
G2AstonVillaGoal_RCMP_2880x1920_fps24_qp42_773k,G2AstonVillaGoal,24.42336371,3840,1920,yuv420p,24.0,540,8,7257437
G2AstonVillaGoal_TSP_3840x1920_fps24_qp27_9436k,G2AstonVillaGoal,55.15431866,3840,1920,yuv420p,24.0,540,8,10696700
G2AstonVillaGoal_TSP_3840x1920_fps24_qp37_2008k,G2AstonVillaGoal,45.55198321,3840,1920,yuv420p,24.0,540,8,8219599
G2AstonVillaGoal_TSP_3840x1920_fps24_qp42_895k,G2AstonVillaGoal,32.39804649,3840,1920,yuv420p,24.0,540,8,6776018
G2CougarsTreats_ERP_7680x3840_fps29.97_qp27_11017k,G2CougarsTreats,62.36031172,7680,3840,yuv420p,29.97,300,8,11022145
G2CougarsTreats_ERP_7680x3840_fps29.97_qp37_2178k,G2CougarsTreats,27.76535334,7680,3840,yuv420p,29.97,300,8,2183224
G2CougarsTreats_ERP_7680x3840_fps29.97_qp42_1757k,G2CougarsTreats,20.81715521,7680,3840,yuv420p,29.97,300,8,1762192
G2CougarsTreats_RCMP_5760x3840_fps29.97_qp27_9576k,G2CougarsTreats,61.19324606,7680,3840,yuv420p,29.97,300,8,22216610
G2CougarsTreats_RCMP_5760x3840_fps29.97_qp37_1906k,G2CougarsTreats,26.98978211,7680,3840,yuv420p,29.97,300,8,13325872
G2CougarsTreats_RCMP_5760x3840_fps29.97_qp42_1413k,G2CougarsTreats,21.08516256,7680,3840,yuv420p,29.97,300,8,10754869
G2CougarsTreats_TSP_7680x3840_fps29.97_qp27_13046k,G2CougarsTreats,64.39081011,7680,3840,yuv420p,29.97,300,8,21181955
G2CougarsTreats_TSP_7680x3840_fps29.97_qp37_2937k,G2CougarsTreats,44.76413585,7680,3840,yuv420p,29.97,300,8,14897420
G2CougarsTreats_TSP_7680x3840_fps29.97_qp42_1660k,G2CougarsTreats,28.65620285,7680,3840,yuv420p,29.97,300,8,11401163
G2ForgottenBook_ERP_7680x3840_fps30_qp27_41804k,G2ForgottenBook,59.23930501,7680,3840,yuv420p,30.0,300,8,41809185
G2ForgottenBook_ERP_7680x3840_fps30_qp37_9445k,G2ForgottenBook,58.01148957,7680,3840,yuv420p,30.0,300,8,9449901
G2ForgottenBook_ERP_7680x3840_fps30_qp42_4374k,G2ForgottenBook,48.54247649,7680,3840,yuv420p,30.0,300,8,4378904
G2ForgottenBook_RCMP_5760x3840_fps30_qp27_35526k,G2ForgottenBook,67.24186316,7680,3840,yuv420p,30.0,300,8,50893423
G2ForgottenBook_RCMP_5760x3840_fps30_qp37_7610k,G2ForgottenBook,51.63362607,7680,3840,yuv420p,30.0,300,8,48017335
G2ForgottenBook_RCMP_5760x3840_fps30_qp42_3391k,G2ForgottenBook,44.37831122,7680,3840,yuv420p,30.0,300,8,47019111
G2ForgottenBook_TSP_7680x3840_fps30_qp27_38082k,G2ForgottenBook,62.01116023,7680,3840,yuv420p,30.0,300,8,48970037
G2ForgottenBook_TSP_7680x3840_fps30_qp37_8728k,G2ForgottenBook,61.76399507,7680,3840,yuv420p,30.0,300,8,47310702
G2ForgottenBook_TSP_7680x3840_fps30_qp42_3934k,G2ForgottenBook,53.40887001,7680,3840,yuv420p,30.0,300,8,46705569
G2FormationPace_ERP_7680x3840_fps29.97_qp27_15300k,G2FormationPace,60.47348551,7680,3840,yuv420p,29.97,320,8,15305194
G2FormationPace_ERP_7680x3840_fps29.97_qp37_3823k,G2FormationPace,50.44148107,7680,3840,yuv420p,29.97,320,8,3828247
G2FormationPace_ERP_7680x3840_fps29.97_qp42_1749k,G2FormationPace,34.7105599,7680,3840,yuv420p,29.97,320,8,1753564
G2FormationPace_RCMP_5760x3840_fps29.97_qp27_13882k,G2FormationPace,59.66597765,7680,3840,yuv420p,29.97,320,8,29255059
G2FormationPace_RCMP_5760x3840_fps29.97_qp37_3560k,G2FormationPace,50.39724273,7680,3840,yuv420p,29.97,320,8,24700425
G2FormationPace_RCMP_5760x3840_fps29.97_qp42_1616k,G2FormationPace,32.89988907,7680,3840,yuv420p,29.97,320,8,20196678
G2FormationPace_TSP_7680x3840_fps29.97_qp27_12470k,G2FormationPace,61.14455505,7680,3840,yuv420p,29.97,320,8,27719604
G2FormationPace_TSP_7680x3840_fps29.97_qp37_2831k,G2FormationPace,47.59496514,7680,3840,yuv420p,29.97,320,8,22234988
G2FormationPace_TSP_7680x3840_fps29.97_qp42_1202k,G2FormationPace,31.69039978,7680,3840,yuv420p,29.97,320,8,17802314
G2HangtownMX_ERP_3840x2160_fps29.97_qp27_26305k,G2HangtownMX,63.87276402,3840,2160,yuv420p,29.97,400,8,26309718
G2HangtownMX_ERP_3840x2160_fps29.97_qp37_7064k,G2HangtownMX,57.36426134,3840,2160,yuv420p,29.97,400,8,7068133
G2HangtownMX_ERP_3840x2160_fps29.97_qp42_3193k,G2HangtownMX,52.61701768,3840,2160,yuv420p,29.97,400,8,3197537
G2HangtownMX_RCMP_2880x1920_fps29.97_qp27_24069k,G2HangtownMX,60.48189691,3840,1920,yuv420p,29.97,400,8,22247196
G2HangtownMX_RCMP_2880x1920_fps29.97_qp37_6145k,G2HangtownMX,53.60447087,3840,1920,yuv420p,29.97,400,8,21034050
G2HangtownMX_RCMP_2880x1920_fps29.97_qp42_2719k,G2HangtownMX,46.69447754,3840,1920,yuv420p,29.97,400,8,19308915
G2HangtownMX_TSP_3840x1920_fps29.97_qp27_26027k,G2HangtownMX,64.22330092,3840,1920,yuv420p,29.97,400,8,21268534
G2HangtownMX_TSP_3840x1920_fps29.97_qp37_7244k,G2HangtownMX,62.13312351,3840,1920,yuv420p,29.97,400,8,20159870
G2HangtownMX_TSP_3840x1920_fps29.97_qp42_3352k,G2HangtownMX,55.64401004,3840,1920,yuv420p,29.97,400,8,19009525
G2VictoriaFalls_ERP_3840x2048_fps23.976_qp27_24509k,G2VictoriaFalls,67.42797959,3840,2048,yuv420p,23.976,450,8,24512308
G2VictoriaFalls_ERP_3840x2048_fps23.976_qp37_6563k,G2VictoriaFalls,59.67249197,3840,2048,yuv420p,23.976,450,8,6566832
G2VictoriaFalls_ERP_3840x2048_fps23.976_qp42_2812k,G2VictoriaFalls,48.58223965,3840,2048,yuv420p,23.976,450,8,2815130
G2VictoriaFalls_RCMP_2880x1920_fps23.976_qp27_19501k,G2VictoriaFalls,63.82940834,3840,1920,yuv420p,23.976,450,8,21232519
G2VictoriaFalls_RCMP_2880x1920_fps23.976_qp37_4268k,G2VictoriaFalls,51.41024916,3840,1920,yuv420p,23.976,450,8,19127747
G2VictoriaFalls_RCMP_2880x1920_fps23.976_qp42_1690k,G2VictoriaFalls,39.99198388,3840,1920,yuv420p,23.976,450,8,16383350
G2VictoriaFalls_TSP_3840x1920_fps23.976_qp27_20870k,G2VictoriaFalls,66.01442561,3840,1920,yuv420p,23.976,450,8,19065987
G2VictoriaFalls_TSP_3840x1920_fps23.976_qp37_4881k,G2VictoriaFalls,56.3718333,3840,1920,yuv420p,23.976,450,8,17514570
G2VictoriaFalls_TSP_3840x1920_fps23.976_qp42_2125k,G2VictoriaFalls,52.23449992,3840,1920,yuv420p,23.976,450,8,15693396
G3BackcountrySkiing_ERP_3840x1920_fps25_qp27_19131k,G3BackcountrySkiing,53.57787201,3840,1920,yuv420p,25.0,400,8,19135388
G3BackcountrySkiing_ERP_3840x1920_fps25_qp37_4153k,G3BackcountrySkiing,47.96559253,3840,1920,yuv420p,25.0,400,8,4156716
G3BackcountrySkiing_ERP_3840x1920_fps25_qp42_1608k,G3BackcountrySkiing,32.01359463,3840,1920,yuv420p,25.0,400,8,1611896
G3BackcountrySkiing_RCMP_2880x1920_fps25_qp27_15973k,G3BackcountrySkiing,57.46438897,3840,1920,yuv420p,25.0,400,8,14896454
G3BackcountrySkiing_RCMP_2880x1920_fps25_qp37_3521k,G3BackcountrySkiing,46.64827438,3840,1920,yuv420p,25.0,400,8,13113243
G3BackcountrySkiing_RCMP_2880x1920_fps25_qp42_1350k,G3BackcountrySkiing,36.66843959,3840,1920,yuv420p,25.0,400,8,12026176
G3BackcountrySkiing_TSP_3840x1920_fps25_qp27_20563k,G3BackcountrySkiing,56.80886919,3840,1920,yuv420p,25.0,400,8,14117779
G3BackcountrySkiing_TSP_3840x1920_fps25_qp37_5199k,G3BackcountrySkiing,52.83014583,3840,1920,yuv420p,25.0,400,8,12859276
G3BackcountrySkiing_TSP_3840x1920_fps25_qp42_2098k,G3BackcountrySkiing,47.30777786,3840,1920,yuv420p,25.0,400,8,11866387
G3GetYoGurl_ERP_3840x1920_fps29.97_qp27_14177k,G3GetYoGurl,59.0220357,3840,1920,yuv420p,29.97,380,8,14181665
G3GetYoGurl_ERP_3840x1920_fps29.97_qp37_3395k,G3GetYoGurl,54.49241256,3840,1920,yuv420p,29.97,380,8,3399283
G3GetYoGurl_ERP_3840x1920_fps29.97_qp42_1688k,G3GetYoGurl,38.67827816,3840,1920,yuv420p,29.97,380,8,1692516
G3GetYoGurl_RCMP_2880x1920_fps29.97_qp27_13169k,G3GetYoGurl,63.13770741,3840,1920,yuv420p,29.97,380,8,16489026
G3GetYoGurl_RCMP_2880x1920_fps29.97_qp37_3089k,G3GetYoGurl,49.46757641,3840,1920,yuv420p,29.97,380,8,14158740
G3GetYoGurl_RCMP_2880x1920_fps29.97_qp42_1561k,G3GetYoGurl,43.210855,3840,1920,yuv420p,29.97,380,8,12279890
